Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2009,63.7,30.0,N/A,29.0,92.8,75.6,N/A,67.0,47.2,79.6,75.8,70.0,70.0
Algeria,2009,56.6,30.0,N/A,30.0,77.2,74.1,N/A,72.5,55.5,78.6,68.6,50.0,30.0
Angola,2009,47.0,20.0,N/A,22.0,85.2,62.2,N/A,43.6,43.5,61.8,72.0,20.0,40.0
Argentina,2009,52.3,20.0,N/A,29.0,70.3,75.6,N/A,62.1,45.6,60.6,70.0,50.0,40.0
Armenia,2009,69.9,35.0,N/A,30.0,90.0,89.7,N/A,83.7,66.3,77.8,86.4,70.0,70.0
Australia,2009,82.6,90.0,N/A,86.0,61.4,64.3,N/A,90.5,94.7,84.7,84.8,80.0,90.0
Austria,2009,71.2,90.0,N/A,81.0,49.9,27.1,N/A,78.6,78.7,80.9,85.8,70.0,70.0
Azerbaijan,2009,58.0,25.0,N/A,21.0,79.7,77.5,N/A,74.6,87.0,66.3,78.4,30.0,40.0
Bahrain,2009,74.8,60.0,N/A,50.0,99.9,79.4,N/A,79.6,85.1,74.0,80.0,60.0,80.0
"Bangladesh ",2009,47.5,25.0,N/A,20.0,72.8,94.2,N/A,62.9,52.3,67.3,40.2,20.0,20.0
Barbados,2009,71.5,90.0,N/A,69.0,70.9,66.3,N/A,90.0,80.0,74.5,64.6,50.0,60.0
Belarus,2009,45.0,20.0,N/A,21.0,79.4,30.9,N/A,63.7,70.8,66.8,67.2,20.0,10.0
Belgium,2009,72.1,80.0,N/A,71.0,41.5,28.3,N/A,93.2,70.5,81.0,85.8,90.0,80.0
Belize,2009,63.0,50.0,N/A,30.0,68.8,77.6,N/A,75.5,80.6,78.4,69.6,50.0,50.0
Benin,2009,55.4,30.0,N/A,27.0,67.2,88.5,N/A,43.8,50.3,79.6,67.4,40.0,60.0
Bhutan,2009,57.7,60.0,N/A,50.0,83.6,58.3,N/A,61.7,85.8,75.9,42.0,30.0,30.0
Bolivia,2009,53.6,20.0,N/A,29.0,84.8,71.9,N/A,58.5,41.9,67.9,81.8,20.0,60.0
Bosnia and Herzegovina,2009,53.1,10.0,N/A,33.0,71.8,37.6,N/A,59.9,52.1,79.0,77.2,50.0,60.0
Botswana,2009,69.7,75.0,N/A,54.0,75.1,70.6,N/A,71.2,70.0,71.8,69.0,70.0,70.0
Brazil,2009,56.7,50.0,N/A,35.0,65.8,50.3,N/A,54.4,62.7,77.2,71.6,50.0,50.0
Bulgaria,2009,64.6,30.0,N/A,41.0,86.2,58.7,N/A,73.5,78.4,72.8,85.8,60.0,60.0
Burkina Faso,2009,59.5,30.0,N/A,29.0,80.7,83.7,N/A,58.7,69.0,83.7,70.4,40.0,50.0
Burma,2009,37.7,5.0,N/A,14.0,81.8,98.5,N/A,20.0,20.0,45.3,72.2,10.0,10.0
Burundi,2009,48.8,30.0,N/A,25.0,72.5,55.8,N/A,34.4,64.3,72.7,63.0,40.0,30.0
Cabo Verde,2009,61.3,70.0,N/A,49.0,65.5,62.2,N/A,57.1,46.9,76.9,65.4,60.0,60.0
Cambodia,2009,56.6,30.0,N/A,20.0,91.4,94.5,N/A,42.7,44.5,80.0,63.4,50.0,50.0
Cameroon,2009,53.0,30.0,N/A,24.0,69.6,93.6,N/A,39.3,51.5,76.0,56.0,40.0,50.0
Canada,2009,80.5,90.0,N/A,87.0,76.6,53.7,N/A,96.5,81.9,80.8,88.2,70.0,80.0
Central African Republic,2009,48.3,20.0,N/A,20.0,65.4,94.0,N/A,39.5,48.7,75.0,50.4,40.0,30.0
Chad,2009,47.5,20.0,N/A,18.0,50.5,90.8,N/A,35.7,42.6,78.6,58.4,40.0,40.0
Chile,2009,78.3,90.0,N/A,70.0,78.2,90.1,N/A,66.3,75.0,77.3,85.8,80.0,70.0
China,2009,53.2,20.0,N/A,35.0,70.6,88.9,N/A,51.6,61.8,72.9,71.4,30.0,30.0
Colombia,2009,62.3,40.0,N/A,38.0,72.9,65.9,N/A,77.4,66.0,70.6,72.4,60.0,60.0
Comoros,2009,43.3,30.0,N/A,26.0,64.6,88.1,N/A,46.5,31.8,78.9,27.2,20.0,20.0
"Costa Rica ",2009,66.4,50.0,N/A,50.0,82.8,88.4,N/A,60.3,61.2,69.7,81.8,70.0,50.0
"Côte d'Ivoire ",2009,55.0,30.0,N/A,21.0,58.1,87.6,N/A,45.8,57.8,79.1,70.4,40.0,60.0
