Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Croatia,2009,55.1,30.0,N/A,41.0,68.7,31.7,N/A,59.9,43.4,79.0,87.6,50.0,60.0
Cuba,2009,27.9,10.0,N/A,42.0,45.9,0.0,N/A,10.0,20.0,67.0,64.4,10.0,10.0
Cyprus,2009,70.8,90.0,N/A,53.0,76.6,42.2,N/A,70.0,70.0,85.7,80.8,70.0,70.0
Czech Republic,2009,69.4,70.0,N/A,52.0,80.2,43.0,N/A,65.1,67.8,79.7,85.8,70.0,80.0
Democratic Republic of Congo,2009,42.8,10.0,N/A,19.0,73.3,85.3,N/A,34.3,34.5,59.5,62.2,30.0,20.0
Denmark,2009,79.6,95.0,N/A,94.0,35.4,20.4,N/A,99.9,99.4,86.6,85.8,90.0,90.0
Djibouti,2009,51.3,30.0,N/A,29.0,80.8,59.4,N/A,38.1,57.9,76.6,31.8,50.0,60.0
Dominica,2009,62.6,60.0,N/A,56.0,67.4,52.2,N/A,76.4,70.0,79.8,74.2,60.0,30.0
Dominican Republic,2009,59.2,30.0,N/A,30.0,85.2,91.1,N/A,63.7,55.1,74.1,73.0,50.0,40.0
Ecuador,2009,52.5,25.0,N/A,21.0,85.8,83.1,N/A,54.0,38.3,75.0,72.6,30.0,40.0
Egypt,2009,58.0,40.0,N/A,29.0,89.5,66.1,N/A,64.7,61.3,65.9,63.4,50.0,50.0
"El Salvador ",2009,69.8,50.0,N/A,40.0,85.7,87.9,N/A,67.3,67.5,77.4,81.8,70.0,70.0
Equatorial Guinea,2009,51.3,30.0,N/A,19.0,75.5,86.3,N/A,45.7,46.1,81.4,59.4,30.0,40.0
Eritrea,2009,38.5,10.0,N/A,28.0,86.4,9.9,N/A,18.3,73.9,59.0,69.2,10.0,20.0
Estonia,2009,76.4,90.0,N/A,65.0,81.5,67.3,N/A,75.9,48.5,79.7,85.8,90.0,80.0
Eswatini,2009,59.1,50.0,N/A,33.0,64.3,70.6,N/A,68.6,69.6,73.1,71.6,50.0,40.0
Ethiopia,2009,53.0,30.0,N/A,24.0,77.4,82.7,N/A,62.6,59.4,65.5,68.6,40.0,20.0
Fiji,2009,61.0,30.0,N/A,40.0,76.0,76.0,N/A,66.0,84.8,77.3,69.6,30.0,60.0
Finland,2009,74.5,95.0,N/A,94.0,64.3,28.6,N/A,95.1,44.8,87.4,85.8,70.0,80.0
France,2009,63.3,70.0,N/A,73.0,50.9,14.5,N/A,87.4,54.5,71.7,80.8,60.0,70.0
Gabon,2009,55.0,40.0,N/A,33.0,61.7,84.8,N/A,59.9,60.0,73.8,57.0,40.0,40.0
Georgia,2009,69.8,35.0,N/A,34.0,86.8,74.6,N/A,86.6,99.4,70.9,80.6,70.0,60.0
Germany,2009,70.5,90.0,N/A,78.0,58.5,38.2,N/A,90.3,43.4,80.8,85.8,80.0,60.0
Ghana,2009,58.1,50.0,N/A,37.0,83.2,65.7,N/A,56.7,45.3,69.6,63.0,50.0,60.0
Greece,2009,60.8,50.0,N/A,46.0,66.5,46.3,N/A,78.7,61.2,78.8,80.8,50.0,50.0
"Guatemala ",2009,59.4,30.0,N/A,28.0,79.4,93.5,N/A,54.1,57.3,73.3,78.4,50.0,50.0
Guinea,2009,51.0,20.0,N/A,19.0,71.1,91.9,N/A,45.2,66.3,57.4,59.6,40.0,40.0
Guinea-Bissau,2009,45.4,20.0,N/A,22.0,88.4,49.1,N/A,24.2,50.5,73.5,66.8,30.0,30.0
Guyana,2009,48.4,40.0,N/A,26.0,66.5,3.2,N/A,60.9,65.2,69.6,72.6,40.0,40.0
Haiti,2009,50.5,10.0,N/A,16.0,77.9,93.8,N/A,37.7,61.2,69.0,79.4,30.0,30.0
"Honduras ",2009,58.7,30.0,N/A,25.0,85.1,79.7,N/A,64.4,40.9,73.5,78.0,50.0,60.0
Hong Kong,2009,90.0,90.0,N/A,83.0,93.4,93.1,N/A,92.7,86.3,86.2,95.0,90.0,90.0
"Hungary ",2009,66.8,70.0,N/A,53.0,70.6,19.2,N/A,77.4,68.4,73.8,85.8,80.0,70.0
Iceland,2009,75.9,90.0,N/A,92.0,76.2,44.0,N/A,93.6,59.9,75.3,88.0,70.0,70.0
India,2009,54.4,50.0,N/A,35.0,73.8,77.8,N/A,54.4,62.3,69.3,51.0,30.0,40.0
Indonesia,2009,53.4,30.0,N/A,23.0,77.5,88.0,N/A,46.7,50.9,71.6,76.4,30.0,40.0
Iran,2009,44.6,10.0,N/A,25.0,81.0,79.7,N/A,60.6,52.4,60.1,57.4,10.0,10.0
Iraq,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,2009,82.2,90.0,N/A,75.0,69.2,64.9,N/A,93.0,79.7,84.3,85.8,90.0,90.0
Israel,2009,67.6,70.0,N/A,61.0,57.1,35.1,N/A,67.8,64.9,83.7,86.0,80.0,70.0
Italy,2009,61.4,50.0,N/A,52.0,55.8,24.7,N/A,78.7,61.3,80.8,80.8,70.0,60.0
"Jamaica ",2009,65.2,50.0,N/A,33.0,75.3,62.2,N/A,87.8,67.4,75.4,70.6,80.0,50.0
Japan,2009,72.8,70.0,N/A,75.0,67.5,61.1,N/A,85.8,82.5,93.6,82.0,60.0,50.0
Jordan,2009,65.4,55.0,N/A,47.0,83.0,56.9,N/A,68.9,74.1,80.3,78.8,50.0,60.0
Kazakhstan,2009,60.1,25.0,N/A,21.0,82.8,87.5,N/A,57.9,80.5,70.0,86.2,30.0,60.0
Kenya,2009,58.7,30.0,N/A,21.0,78.6,81.5,N/A,66.9,63.1,74.0,71.8,50.0,50.0
Kiribati,2009,45.7,30.0,N/A,33.0,42.2,0.0,N/A,62.5,85.6,88.7,55.0,30.0,30.0
Kuwait,2009,65.6,50.0,N/A,43.0,99.9,63.7,N/A,67.4,79.3,71.7,81.0,50.0,50.0
"Kyrgyz Republic ",2009,61.8,25.0,N/A,21.0,93.4,74.9,N/A,75.3,69.5,71.5,87.6,50.0,50.0
Laos,2009,50.4,10.0,N/A,19.0,70.6,89.7,N/A,59.5,63.5,75.4,66.4,30.0,20.0
Latvia,2009,66.6,55.0,N/A,48.0,82.3,58.5,N/A,73.8,61.6,71.1,85.8,70.0,60.0
Lebanon,2009,58.1,30.0,N/A,30.0,91.7,64.1,N/A,60.0,57.4,77.3,80.8,30.0,60.0
Lesotho,2009,49.7,40.0,N/A,33.0,63.1,36.2,N/A,61.7,62.7,73.1,57.0,30.0,40.0
Liberia,2009,48.1,25.0,N/A,21.0,73.8,97.2,N/A,40.2,49.8,70.1,53.8,30.0,20.0
Libya,2009,43.5,10.0,N/A,25.0,81.7,68.1,N/A,20.0,20.0,70.3,90.0,30.0,20.0
Liechtenstein,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2009,70.0,50.0,N/A,48.0,87.6,65.3,N/A,82.4,54.6,75.8,85.8,70.0,80.0
Luxembourg,2009,75.2,90.0,N/A,84.0,66.3,54.4,N/A,76.2,45.1,80.2,85.8,90.0,80.0
Macau,2009,72.0,60.0,N/A,57.0,79.3,93.2,N/A,60.0,60.0,80.3,90.0,70.0,70.0
Madagascar,2009,62.2,50.0,N/A,32.0,80.9,86.3,N/A,60.5,46.0,73.9,72.6,70.0,50.0
Malawi,2009,53.7,50.0,N/A,27.0,70.7,48.6,N/A,45.2,57.2,69.8,68.8,50.0,50.0
"Malaysia ",2009,64.6,50.0,N/A,51.0,83.0,81.4,N/A,70.8,71.5,79.9,78.2,40.0,40.0
Maldives,2009,51.3,30.0,N/A,33.0,95.8,0.0,N/A,83.2,90.1,76.5,44.0,30.0,30.0
Mali,2009,55.6,30.0,N/A,27.0,69.4,81.4,N/A,42.2,63.8,79.6,73.0,50.0,40.0
Malta,2009,66.1,90.0,N/A,58.0,63.1,41.7,N/A,70.0,60.0,82.7,85.8,50.0,60.0
Mauritania,2009,53.9,25.0,N/A,26.0,75.4,65.9,N/A,53.6,50.2,77.7,75.6,50.0,40.0
Mauritius,2009,74.3,60.0,N/A,47.0,92.2,80.8,N/A,83.3,71.5,71.1,86.8,80.0,70.0
Mexico,2009,65.8,50.0,N/A,35.0,83.4,81.8,N/A,80.3,59.8,77.5,80.2,50.0,60.0
Micronesia,2009,51.7,30.0,N/A,30.0,97.4,0.0,N/A,59.8,82.3,76.7,81.0,30.0,30.0
Moldova,2009,54.9,40.0,N/A,28.0,85.3,51.3,N/A,70.1,45.1,67.6,81.6,30.0,50.0
Mongolia,2009,62.8,30.0,N/A,30.0,81.3,69.9,N/A,71.0,67.7,76.7,81.2,60.0,60.0
Montenegro,2009,58.2,40.0,N/A,33.0,89.1,45.3,N/A,68.7,57.2,78.9,80.2,40.0,50.0
Morocco,2009,57.7,35.0,N/A,35.0,65.1,76.5,N/A,76.2,30.8,80.5,68.0,60.0,50.0
"Mozambique ",2009,55.7,30.0,N/A,28.0,77.7,76.5,N/A,54.2,41.1,75.9,73.4,50.0,50.0
Namibia,2009,62.4,30.0,N/A,45.0,67.2,69.7,N/A,74.4,85.0,74.6,88.4,40.0,50.0
Nepal,2009,53.2,30.0,N/A,25.0,86.3,91.0,N/A,60.5,46.9,78.7,63.2,20.0,30.0
Netherlands,2009,77.0,90.0,N/A,90.0,50.9,36.2,N/A,86.5,63.3,87.0,85.8,90.0,90.0
New Zealand,2009,82.0,95.0,N/A,94.0,62.5,49.6,N/A,99.9,89.6,84.6,84.6,80.0,80.0
"Nicaragua ",2009,59.8,25.0,N/A,26.0,78.8,71.0,N/A,57.6,70.6,69.5,79.2,70.0,50.0
Niger,2009,53.8,30.0,N/A,26.0,66.3,88.8,N/A,36.9,40.6,89.5,70.4,50.0,40.0
Nigeria,2009,55.1,30.0,N/A,22.0,84.4,64.3,N/A,55.1,85.8,77.9,61.8,30.0,40.0
North Korea,2009,2.0,5.0,N/A,5.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,10.0,0.0
North Macedonia,2009,61.2,30.0,N/A,33.0,89.4,65.1,N/A,58.2,59.8,85.4,81.6,50.0,60.0
Norway,2009,70.2,90.0,N/A,87.0,50.3,50.5,N/A,88.1,48.6,78.1,89.2,60.0,60.0
Oman,2009,67.0,50.0,N/A,47.0,98.5,61.1,N/A,63.3,75.0,71.4,83.6,60.0,60.0
"Pakistan ",2009,57.0,30.0,N/A,24.0,80.4,90.7,N/A,72.5,54.5,72.2,65.6,40.0,40.0
"Panama ",2009,64.7,30.0,N/A,32.0,82.6,89.8,N/A,74.5,44.1,77.9,76.2,70.0,70.0
Papua New Guinea,2009,54.8,20.0,N/A,20.0,67.4,71.0,N/A,60.1,81.1,81.4,87.2,30.0,30.0
"Paraguay ",2009,61.0,30.0,N/A,24.0,96.6,90.4,N/A,61.7,27.0,76.7,83.6,60.0,60.0
Peru,2009,64.6,40.0,N/A,35.0,79.7,91.8,N/A,65.1,48.7,86.5,79.4,60.0,60.0
Philippines,2009,56.8,30.0,N/A,25.0,75.4,90.8,N/A,49.3,51.4,77.2,78.6,40.0,50.0
Poland,2009,60.3,50.0,N/A,42.0,69.0,42.2,N/A,53.7,59.8,80.8,85.8,60.0,60.0
Portugal,2009,64.9,70.0,N/A,65.0,61.6,35.4,N/A,81.1,40.3,79.9,85.8,70.0,60.0
Qatar,2009,65.8,50.0,N/A,60.0,99.9,69.1,N/A,75.7,64.7,67.3,81.6,40.0,50.0
"Republic of Congo ",2009,45.4,10.0,N/A,21.0,60.2,77.6,N/A,50.1,45.6,73.9,55.4,30.0,30.0
Romania,2009,63.2,35.0,N/A,37.0,87.0,70.0,N/A,74.9,57.1,75.0,85.8,60.0,50.0
Russia,2009,50.8,25.0,N/A,23.0,78.9,70.6,N/A,54.0,60.0,65.5,60.8,30.0,40.0
Rwanda,2009,54.2,30.0,N/A,28.0,76.8,76.8,N/A,58.9,59.5,70.8,61.2,40.0,40.0
Saint Lucia,2009,68.8,70.0,N/A,68.0,74.0,68.5,N/A,87.7,82.8,85.1,72.0,40.0,40.0
Saint Vincent and the Grenadines,2009,64.3,70.0,N/A,61.0,64.7,60.9,N/A,78.2,78.5,75.6,73.6,40.0,40.0
Samoa,2009,59.5,60.0,N/A,45.0,86.2,56.2,N/A,61.5,80.2,75.7,70.0,30.0,30.0
"São Tomé and Príncipe ",2009,43.8,30.0,N/A,27.0,75.0,22.0,N/A,45.1,48.0,61.4,60.0,40.0,30.0
Saudi Arabia,2009,64.3,40.0,N/A,34.0,99.6,73.4,N/A,79.6,76.4,68.4,81.8,40.0,50.0
Senegal,2009,56.3,50.0,N/A,36.0,65.1,77.0,N/A,65.0,42.5,76.5,71.2,40.0,40.0
"Serbia ",2009,56.6,40.0,N/A,34.0,85.9,46.3,N/A,56.0,70.0,65.8,78.0,40.0,50.0
Seychelles,2009,47.8,50.0,N/A,45.0,73.8,0.0,N/A,65.5,57.1,78.1,28.4,50.0,30.0
Sierra Leone,2009,47.8,10.0,N/A,21.0,80.9,86.3,N/A,57.0,33.4,73.8,66.0,30.0,20.0
Singapore,2009,87.1,90.0,N/A,93.0,91.1,93.8,N/A,98.3,98.1,86.8,90.0,80.0,50.0
Slovakia,2009,69.4,50.0,N/A,49.0,84.1,57.4,N/A,73.4,75.3,78.7,85.8,70.0,70.0
Slovenia,2009,62.9,60.0,N/A,66.0,62.9,38.4,N/A,84.5,42.8,78.6,85.8,60.0,50.0
Solomon Islands,2009,46.0,30.0,N/A,28.0,68.9,0.0,N/A,67.2,76.3,73.5,66.4,20.0,30.0
South Africa,2009,63.8,50.0,N/A,51.0,68.9,77.6,N/A,74.6,56.8,74.3,74.8,50.0,60.0
South Korea,2009,68.1,70.0,N/A,51.0,70.4,72.5,N/A,90.4,46.4,80.0,70.2,70.0,60.0
Spain,2009,70.1,70.0,N/A,67.0,58.6,55.3,N/A,76.8,48.3,78.9,85.8,80.0,80.0
Sri Lanka,2009,56.0,40.0,N/A,32.0,73.2,80.5,N/A,73.7,70.8,59.4,71.0,20.0,40.0
Sudan,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Suriname,2009,54.1,40.0,N/A,35.0,67.7,75.5,N/A,41.5,84.8,72.2,64.2,30.0,30.0
Sweden,2009,70.5,90.0,N/A,93.0,35.0,7.3,N/A,95.9,55.5,82.1,85.8,80.0,80.0
Switzerland,2009,79.4,90.0,N/A,90.0,67.5,65.3,N/A,82.9,79.2,83.9,85.4,70.0,80.0
Syria,2009,51.3,30.0,N/A,24.0,87.0,74.9,N/A,61.4,54.9,67.2,54.0,40.0,20.0
Taiwan,2009,69.5,70.0,N/A,57.0,76.2,89.4,N/A,69.5,45.7,82.1,85.2,70.0,50.0
Tajikistan,2009,54.6,30.0,N/A,21.0,89.3,85.9,N/A,45.1,58.7,63.2,82.6,30.0,40.0
Tanzania,2009,58.3,30.0,N/A,32.0,80.6,83.4,N/A,48.1,49.9,73.4,75.6,60.0,50.0
"Thailand ",2009,63.0,50.0,N/A,33.0,74.4,90.6,N/A,71.1,76.5,69.0,75.6,30.0,60.0
The Bahamas,2009,70.3,75.0,N/A,50.0,96.5,84.4,N/A,74.7,80.4,75.5,56.0,40.0,70.0
The Gambia,2009,55.8,30.0,N/A,23.0,71.9,74.4,N/A,59.9,67.0,71.9,59.6,50.0,50.0
Timor-Leste,2009,50.5,20.0,N/A,26.0,64.7,84.0,N/A,47.0,66.0,74.1,73.0,30.0,20.0
Togo,2009,48.7,30.0,N/A,23.0,53.7,86.6,N/A,36.6,44.7,81.5,70.6,30.0,30.0
Tonga,2009,54.1,20.0,N/A,17.0,82.5,58.0,N/A,79.0,99.4,68.9,56.0,40.0,20.0
Trinidad and Tobago,2009,68.0,60.0,N/A,34.0,79.7,75.6,N/A,60.1,78.3,72.2,79.8,70.0,70.0
Tunisia,2009,58.0,50.0,N/A,42.0,76.5,78.3,N/A,81.6,60.1,78.4,53.0,30.0,30.0
Turkey,2009,61.6,50.0,N/A,41.0,73.2,83.4,N/A,69.9,40.3,71.1,86.6,50.0,50.0
Turkmenistan,2009,44.2,10.0,N/A,20.0,90.9,93.6,N/A,30.0,30.0,68.0,79.2,10.0,10.0
Uganda,2009,63.5,30.0,N/A,28.0,80.4,86.9,N/A,58.7,87.9,78.4,75.2,50.0,60.0
Ukraine,2009,48.8,30.0,N/A,27.0,77.0,39.0,N/A,40.5,52.4,68.1,84.0,30.0,40.0
United Arab Emirates,2009,64.7,40.0,N/A,57.0,99.9,86.3,N/A,57.4,76.2,69.8,80.8,30.0,50.0
United Kingdom,2009,79.0,90.0,N/A,84.0,61.0,40.3,N/A,89.8,78.5,80.4,85.8,90.0,90.0
United States,2009,80.7,90.0,N/A,72.0,67.5,59.6,N/A,91.9,95.1,84.0,86.8,80.0,80.0
"Uruguay ",2009,69.1,70.0,N/A,67.0,82.2,76.5,N/A,65.6,73.7,72.8,83.4,70.0,30.0
Uzbekistan,2009,50.5,20.0,N/A,17.0,88.3,68.1,N/A,68.4,64.9,62.6,65.4,30.0,20.0
Vanuatu,2009,58.4,40.0,N/A,31.0,95.3,84.0,N/A,69.0,52.6,78.7,63.0,30.0,40.0
"Venezuela ",2009,39.9,5.0,N/A,20.0,70.6,69.3,N/A,50.8,30.1,53.7,59.6,10.0,30.0
Vietnam,2009,51.0,10.0,N/A,26.0,74.3,77.3,N/A,61.7,70.0,67.0,63.4,30.0,30.0
Yemen,2009,56.9,30.0,N/A,25.0,83.2,57.1,N/A,74.9,75.8,66.5,76.2,50.0,30.0
Zambia,2009,56.6,30.0,N/A,26.0,72.9,82.1,N/A,68.8,51.0,64.1,71.2,50.0,50.0
Zimbabwe,2009,22.7,5.0,N/A,21.0,44.1,4.6,N/A,30.8,51.2,0.0,50.4,10.0,10.0
