Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Madagascar,2016,61.1,45.0,N/A,28.0,91.1,93.4,N/A,52.9,48.5,74.5,77.2,50.0,50.0
Malawi,2016,51.8,40.0,N/A,33.0,79.0,27.1,N/A,44.5,63.4,53.6,72.4,55.0,50.0
"Malaysia ",2016,71.5,55.0,N/A,52.0,85.0,74.3,N/A,91.4,71.5,84.5,81.4,60.0,60.0
Maldives,2016,53.9,25.0,N/A,21.9,94.0,60.8,N/A,81.5,70.4,73.0,47.8,35.0,30.0
Mali,2016,56.5,25.0,N/A,32.0,70.3,82.8,N/A,46.3,50.8,83.0,70.2,65.0,40.0
Malta,2016,66.7,70.0,N/A,55.0,63.9,46.5,N/A,61.6,53.5,83.5,88.0,85.0,60.0
Mauritania,2016,54.8,25.0,N/A,30.0,81.6,75.3,N/A,48.7,50.7,77.7,69.0,50.0,40.0
Mauritius,2016,74.7,60.0,N/A,54.0,92.0,81.5,N/A,77.5,65.0,78.7,88.6,80.0,70.0
Mexico,2016,65.2,50.0,N/A,35.0,74.9,76.4,N/A,70.7,58.2,77.4,79.2,70.0,60.0
Micronesia,2016,51.8,30.0,N/A,30.0,93.2,0.0,N/A,57.5,79.1,82.1,85.6,30.0,30.0
Moldova,2016,57.4,40.0,N/A,35.0,85.4,55.6,N/A,64.6,39.3,76.0,73.6,55.0,50.0
Mongolia,2016,59.4,30.0,N/A,39.0,84.4,51.5,N/A,67.7,77.9,68.0,70.0,45.0,60.0
Montenegro,2016,64.9,40.0,N/A,42.0,91.6,39.8,N/A,76.6,72.0,82.6,84.8,70.0,50.0
Morocco,2016,61.3,40.0,N/A,39.0,71.5,65.6,N/A,66.4,34.3,84.1,81.8,70.0,60.0
"Mozambique ",2016,53.2,30.0,N/A,31.0,74.3,63.5,N/A,55.9,41.9,79.5,70.8,35.0,50.0
Namibia,2016,61.9,30.0,N/A,49.0,64.4,63.9,N/A,68.2,84.5,75.1,83.4,60.0,40.0
Nepal,2016,50.9,30.0,N/A,29.0,85.1,91.1,N/A,64.9,47.3,70.8,55.6,5.0,30.0
Netherlands,2016,74.6,90.0,N/A,83.0,52.7,34.4,N/A,80.0,64.0,83.4,88.0,90.0,80.0
New Zealand,2016,81.6,95.0,N/A,91.0,71.0,46.0,N/A,91.4,85.9,88.1,87.2,80.0,80.0
"Nicaragua ",2016,58.6,10.0,N/A,28.0,78.0,82.8,N/A,61.2,55.7,69.0,86.2,65.0,50.0
Niger,2016,54.3,30.0,N/A,35.0,76.3,76.8,N/A,39.6,42.3,83.0,64.6,55.0,40.0
Nigeria,2016,57.5,30.0,N/A,27.0,85.1,94.6,N/A,48.7,72.9,71.5,64.8,40.0,40.0
North Korea,2016,2.3,5.0,N/A,8.0,0.0,0.0,N/A,5.0,5.0,0.0,0.0,0.0,0.0
North Macedonia,2016,67.5,35.0,N/A,45.0,92.1,69.6,N/A,76.4,66.7,83.5,86.4,60.0,60.0
Norway,2016,70.8,90.0,N/A,86.0,53.2,41.8,N/A,89.6,48.5,76.2,87.8,75.0,60.0
Oman,2016,67.1,55.0,N/A,45.0,98.5,36.8,N/A,70.1,72.5,77.9,85.0,70.0,60.0
"Pakistan ",2016,55.9,30.0,N/A,29.0,79.0,86.2,N/A,61.2,42.1,71.5,65.0,55.0,40.0
"Panama ",2016,64.8,30.0,N/A,37.0,84.4,77.9,N/A,74.4,42.9,78.6,77.8,75.0,70.0
Papua New Guinea,2016,53.2,20.0,N/A,25.0,67.3,76.2,N/A,59.9,71.9,70.6,85.6,25.0,30.0
"Paraguay ",2016,61.5,30.0,N/A,24.0,96.3,83.3,N/A,62.6,30.4,76.8,76.2,75.0,60.0
Peru,2016,67.4,40.0,N/A,38.0,78.5,86.1,N/A,67.8,62.9,83.7,87.0,70.0,60.0
Philippines,2016,63.1,30.0,N/A,38.0,79.0,89.6,N/A,63.0,57.1,77.7,76.4,60.0,60.0
Poland,2016,69.3,65.0,N/A,61.0,75.5,46.5,N/A,68.7,58.0,85.2,88.0,75.0,70.0
Portugal,2016,65.1,70.0,N/A,63.0,60.5,24.8,N/A,85.3,43.5,85.7,88.0,70.0,60.0
Qatar,2016,70.7,65.0,N/A,69.0,99.7,70.4,N/A,71.4,70.7,74.1,81.8,45.0,60.0
"Republic of Congo ",2016,42.8,10.0,N/A,23.0,66.9,55.8,N/A,35.9,38.8,75.6,52.0,40.0,30.0
Romania,2016,65.6,35.0,N/A,43.0,87.5,65.6,N/A,66.1,65.1,81.1,88.0,75.0,50.0
Russia,2016,50.6,20.0,N/A,27.0,82.2,56.2,N/A,72.2,57.6,62.9,72.4,25.0,30.0
Rwanda,2016,63.1,30.0,N/A,49.0,80.1,77.1,N/A,60.5,82.0,79.4,67.6,65.0,40.0
Saint Lucia,2016,70.0,70.0,N/A,71.0,76.9,70.6,N/A,77.6,76.2,80.3,72.0,65.0,40.0
Saint Vincent and the Grenadines,2016,68.8,70.0,N/A,67.0,73.8,69.7,N/A,77.6,74.5,85.3,65.4,65.0,40.0
Samoa,2016,63.5,60.0,N/A,52.0,78.9,57.5,N/A,77.1,71.8,82.5,70.6,55.0,30.0
"São Tomé and Príncipe ",2016,56.7,25.0,N/A,42.0,87.4,70.1,N/A,65.9,46.1,67.6,73.0,60.0,30.0
Saudi Arabia,2016,62.1,40.0,N/A,49.0,99.7,56.8,N/A,69.9,68.5,69.2,77.8,40.0,50.0
Senegal,2016,58.1,40.0,N/A,43.0,71.6,76.1,N/A,49.1,42.4,84.9,73.8,60.0,40.0
"Serbia ",2016,62.1,50.0,N/A,41.0,84.3,44.1,N/A,60.2,66.2,77.5,77.8,70.0,50.0
Seychelles,2016,62.2,50.0,N/A,55.0,79.3,62.0,N/A,66.0,62.1,79.7,83.4,55.0,30.0
Sierra Leone,2016,52.3,10.0,N/A,31.0,81.2,92.6,N/A,49.9,43.2,70.8,69.4,55.0,20.0
Singapore,2016,87.8,90.0,N/A,84.0,91.2,90.1,N/A,95.0,90.7,81.8,90.0,85.0,80.0
Slovakia,2016,66.6,50.0,N/A,50.0,80.1,49.5,N/A,68.4,55.0,79.5,88.0,75.0,70.0
Slovenia,2016,60.6,60.0,N/A,58.0,58.6,0.0,N/A,82.0,55.4,84.3,88.0,70.0,50.0
Solomon Islands,2016,47.0,30.0,N/A,25.0,61.4,25.2,N/A,68.5,66.2,75.5,73.0,15.0,30.0
Somalia,2016,N/A,N/A,N/A,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,2016,61.9,50.0,N/A,44.0,70.1,69.9,N/A,69.7,58.7,74.6,77.0,45.0,60.0
South Korea,2016,71.7,70.0,N/A,55.0,73.8,69.7,N/A,91.1,50.6,82.6,74.6,70.0,80.0
Spain,2016,68.5,70.0,N/A,60.0,58.3,41.1,N/A,76.0,51.7,84.7,88.0,85.0,70.0
Sri Lanka,2016,59.9,40.0,N/A,38.0,85.1,90.0,N/A,70.3,56.5,71.5,72.4,35.0,40.0
Sudan,2016,N/A,N/A,N/A,11.0,86.4,94.8,N/A,48.8,43.5,46.7,50.6,10.0,N/A
Suriname,2016,53.8,30.0,N/A,36.0,69.4,70.3,N/A,48.8,76.3,78.7,68.4,30.0,30.0
Sweden,2016,72.0,90.0,N/A,87.0,44.4,14.9,N/A,89.7,53.5,87.1,88.0,85.0,80.0
Switzerland,2016,81.0,90.0,N/A,86.0,70.9,66.3,N/A,82.2,72.1,87.8,90.0,85.0,80.0
Syria,2016,N/A,10.0,N/A,20.0,N/A,N/A,N/A,62.4,46.9,42.7,56.6,0.0,20.0
Taiwan,2016,74.7,70.0,N/A,61.0,76.1,88.7,N/A,93.2,53.8,83.2,86.4,75.0,60.0
Tajikistan,2016,51.3,20.0,N/A,23.0,91.6,76.9,N/A,61.1,47.3,69.8,68.6,25.0,30.0
Tanzania,2016,58.5,25.0,N/A,31.0,79.2,88.4,N/A,47.5,62.6,67.7,73.2,60.0,50.0
"Thailand ",2016,63.9,40.0,N/A,38.0,81.1,82.2,N/A,76.3,62.5,70.9,77.6,50.0,60.0
The Bahamas,2016,70.9,70.0,N/A,71.0,97.9,84.3,N/A,70.7,72.8,78.5,64.0,40.0,60.0
The Gambia,2016,57.1,25.0,N/A,29.0,75.5,78.0,N/A,53.4,65.8,64.7,65.0,65.0,50.0
Timor-Leste,2016,45.8,20.0,N/A,28.0,64.7,0.0,N/A,68.0,66.0,70.9,80.0,40.0,20.0
Togo,2016,53.6,30.0,N/A,29.0,68.7,80.4,N/A,51.4,46.2,79.5,71.2,50.0,30.0
Tonga,2016,59.6,25.0,N/A,28.6,86.9,76.3,N/A,76.4,86.1,77.4,79.6,40.0,20.0
Trinidad and Tobago,2016,62.9,50.0,N/A,38.0,79.4,62.3,N/A,69.5,72.8,68.5,78.6,60.0,50.0
Tunisia,2016,57.6,40.0,N/A,40.0,74.0,73.4,N/A,81.3,64.0,75.6,62.2,35.0,30.0
Turkey,2016,62.1,40.0,N/A,45.0,75.2,55.6,N/A,65.4,48.6,71.5,84.4,75.0,60.0
Turkmenistan,2016,41.9,5.0,N/A,17.0,95.3,92.2,N/A,30.0,20.0,69.4,80.0,0.0,10.0
Uganda,2016,59.3,25.0,N/A,26.0,73.2,91.5,N/A,40.3,83.7,80.1,72.8,60.0,40.0
Ukraine,2016,46.8,25.0,N/A,26.0,78.6,30.6,N/A,56.8,47.9,66.9,85.8,20.0,30.0
United Arab Emirates,2016,72.6,55.0,N/A,70.0,95.0,76.1,N/A,79.6,80.7,81.3,82.8,45.0,60.0
United Kingdom,2016,76.4,90.0,N/A,78.0,64.9,39.0,N/A,86.0,71.8,76.4,88.0,90.0,80.0
United States,2016,75.4,80.0,N/A,74.0,65.6,54.7,N/A,84.7,91.4,77.0,87.0,70.0,70.0
"Uruguay ",2016,68.8,70.0,N/A,73.0,77.2,67.6,N/A,75.3,62.5,71.3,80.6,80.0,30.0
Uzbekistan,2016,46.0,15.0,N/A,18.0,90.4,66.6,N/A,67.1,61.9,65.6,65.6,0.0,10.0
Vanuatu,2016,60.8,40.0,N/A,33.5,97.0,86.1,N/A,51.8,47.7,78.3,74.0,60.0,40.0
"Venezuela ",2016,33.7,5.0,N/A,19.0,74.9,56.7,N/A,45.3,29.5,33.8,63.2,0.0,10.0
Vietnam,2016,54.0,15.0,N/A,31.0,79.3,75.1,N/A,58.3,62.6,70.6,83.0,25.0,40.0
Yemen,2016,N/A,30.0,N/A,19.0,N/A,N/A,N/A,51.9,54.4,71.0,N/A,N/A,30.0
Zambia,2016,58.8,30.0,N/A,38.0,73.3,81.1,N/A,66.4,48.3,72.6,78.2,50.0,50.0
Zimbabwe,2016,38.2,10.0,N/A,21.0,60.8,73.6,N/A,37.6,30.0,79.1,50.2,10.0,10.0
