Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Benin,BEN,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,22.32114176,18.477306,21.89360626,15.57759412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4062549,24.80382123,22.43969563,23.5325861,23.25522003,23.84142524,23.26873749,21.57115976,23.61131242,28.89795496,28.74217819,27.9258722,27.91741446,25.2357674,26.57862922,25.43639591,27.422526,
Bangladesh,BGD,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.96478871,16.71550947,15.68934194,15.85009508,16.19896185,18.84111857,22.67102583,24.24246127,25.40956164,25.98191627,27.60053653,29.57050769,32.016934,32.60235853,31.61253645,29.67883808,,,
Bulgaria,BGR,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.72619708,62.27604184,44.4729244,27.73672868,26.52017343,31.5329774,34.8626336,35.5585188,26.40860089,24.78170571,22.168338,24.42445639,21.29729616,29.26004929,26.05864138,21.88765592,21.7426089,31.40152223,25.95773955,27.13489661,25.67315075,25.12854752,23.87972426,24.74256685,26.69118461,25.65027126,26.43803249,27.40697219,27.68387165,
Bahrain,BHR,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,84.75177305,78.66449511,59.00621118,52.57548845,51.2455516,50,20.05012531,27.75510204,21.34038801,18.18181818,22.16924911,24.96909765,25.88075881,28.17109145,22.38586156,22.20744681,30.06060606,29.25714286,23.5721703,23.90057361,26.68513389,22.08530806,26.96629213,26.21199671,26.11996963,25.64102564,26.8081761,32.05776173,31.60340821,29.70225127,26.23501199,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.612683389,3.863368322,5.992105329,4.979468869,10.49975302,12.52396815,12.73249778,13.0068678,13.43911096,13.01077822,13.21704865,14.31484235,15.76227765,16.11326924,
Belarus,BLR,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.98941799,17.94969512,28.09618965,24.57650285,12.5416952,14.7796431,17.59144979,18.46365594,18.90126245,17.3205006,12.31630077,10.63518449,12.5575896,13.39749979,10.60122794,9.90688952,10.75371804,10.88531059,12.70671526,6.324812017,6.839118322,5.857774126,6.435079502,6.428504627,5.568634822,7.42489415,7.183622515,
Belize,BLZ,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.32556719,25.01194276,29.07931161,27.53694131,24.4667655,19.50307194,20.70037265,21.68116821,23.61212934,25.30890582,25.72494666,23.607606,21.9320982,23.46344739,23.9920484,27.26889747,26.05494798,30.43839071,33.11238655,35.49272532,36.41877381,35.49548368,33.11137929,32.82496611,32.23734742,29.57053804,28.30266475,27.93162952,,
Bermuda,BMU,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,3.172978506,2.375880714,4.26640383,8.27507309,10.40417499,9.243847875,9.547341372,9.003674969,8.837429112,4.934802968,4.215060625,9.027672438,9.97412284,9.740177839,12.261336,11.29903798,10.01961227,11.25873571,11.12412507,11.40952436,14.01515432,15.23462626,14.7839643,,,,,,,,,,,,
Brazil,BRA,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.84897745,37.42198873,39.92619401,37.05350563,30.65305464,,,35.3953784,41.71412597,37.77960399,35.702029,35.58880567,38.76608428,37.53268471,35.87823318,38.48031941,41.51562985,42.52381529,46.46427119,46.57990353,46.66017604,48.28297043,44.81591994,45.52429026,46.34462514,46.2010948,50.21909303,51.18016443,50.23919739,
Barbados,BRB,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.32068194,33.59427799,35.34513362,38.3482457,38.58156055,36.87535351,37.00470926,34.06460082,31.94466119,33.07565608,29.62207608,31.37518429,31.43010179,32.42022256,,,
Brunei Darussalam,BRN,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,24.83660131,28.76190476,23.88167388,28.55040471,33.52769679,,30.43662569,32.77419355,30.72939145,25.85227273,25.07617307,32.25229255,32.84323465,40.55093875,50.47382137,56.62331684,53.56942851,57.27603097,53.44696778,62.17194429,54.0480612,46.90100827,58.01699258,50.7557578,49.90686651,56.71228891,55.28004101,58.04372841,63.77896692,61.26415014,52.63153784,51.56555765,58.64203373,56.37555114,55.2597659,51.98934361,44.05368038,
Botswana,BWA,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.70883367,58.46055667,53.2657334,59.27958115,60.64371652,51.26210943,51.25669893,,,,,,,,,,43.18801432,36.73005599,39.40354694,39.51178799,45.65862423,45.27345583,33.52262505,42.61962486,42.21587653,38.2913696,47.19611964,34.5467176,41.10378523,
Central African Republic,CAF,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.62227679,,,,15.42642812,17.94534284,15.4885718,20.40685995,13.27471987,,8.050494067,12.26715334,12.02797651,16.75094354,10.0661654,
Canada,CAN,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.33112583,69.89380338,69.81225681,69.50131388,70.28587985,71.57414614,72.87399859,73.55465734,74.31829054,75.55192592,76.68496252,75.44420622,72.88257654,72.79940237,73.84389253,74.29679153,75.82721784,77.15380374,78.717062,76.98908158,76.19171859,77.37155519,77.57175097,77.73848074,77.95597818,78.01404636,77.92487417,78.4074255,78.41110105,
Central Europe and the Baltics,CEB,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
